player_id,player_club_id
38004,853
79232,8841
42792,6251
73333,1274
122011,195
146889,195
28716,282
69445,282
19409,317
30003,317
30667,317
34129,317
36139,317
4520,317
4582,317
47740,317
59631,317
60312,317
63342,317
63356,317
80073,317
84260,317
75109,11907
63496,3811
14940,660
14942,660
15033,2783
24000,2783
24633,660
26267,660
27108,2783
39996,660
43308,2783
44357,660
45812,2783
48974,660
51232,2783
52937,660
55734,2783
55735,660
59148,2783
59389,2783
59411,660
59970,660
60324,2783
66515,660
73769,2783
74843,2783
75615,660
85969,2783
87893,2783
89222,660
158810,1101
268055,3834
271384,37022
72496,37022
125102,317
182381,317
232499,317
232500,317
104351,4482
12064,4482
120996,2477
135172,2477
24976,4482
26303,2477
35259,4482
36235,4482
36934,2477
43495,4482
44662,4482
46504,4482
53270,2477
57888,2477
58016,2477
58042,2477
58051,2477
58150,2477
58252,4482
58425,2477
58976,4482
65297,4482
73185,2477
91563,4482
94926,2477
97335,2477
97859,4482
102132,1053
102134,1053
119169,678
1197,678
129092,1053
148344,1053
14971,678
15118,1053
15135,1053
15386,678
22887,678
22917,1053
22923,678
23160,678
23201,1053
26774,678
27612,1053
30699,678
37222,1053
48803,1053
5892,678
68948,678
70554,1053
77655,678
89208,678
92248,1053
93315,1053
96331,678
103950,6993
137939,6993
20137,6414
211314,6414
24026,6993
25618,6414
27378,6414
30694,6414
30803,6414
42631,6414
43288,6993
43359,6414
53299,6993
53477,6414
53523,6414
54576,6414
55115,6993
58035,6993
58043,6993
58403,6993
58413,6414
58440,6993
68778,6414
76028,6414
89556,6993
92635,6993
94922,6993
94931,6993
112953,6992
121218,6996
134609,6996
1716,6996
17206,6996
22378,6992
25891,6992
27172,6992
34771,6996
35435,6992
35908,6996
4678,6992
58514,6992
58606,6992
62515,6992
64711,6992
65542,6992
69913,6992
71725,6996
72899,6996
8480,6992
85964,6992
85973,6996
91377,6996
91450,6996
93976,6996
95239,6996
96455,6996
104331,338
114937,338
16746,338
18445,338
27954,338
45196,338
48740,338
59045,2783
61952,338
64308,338
69004,338
69015,338
70754,338
91931,338
9794,338
105362,6994
105534,6994
124182,6994
14927,6994
206717,6994
24010,10690
24670,10690
37303,10690
43276,6994
43393,10690
47375,10690
49022,6994
58238,10690
59249,6994
59266,10690
59269,10690
59277,10690
59964,6994
59973,10690
60790,10690
82608,10690
85430,10690
86931,6994
87097,6994
87864,6994
90768,10690
91259,6994
100980,5724
103428,5817
103433,5817
15039,5724
15049,5817
15243,5817
15472,5817
161244,5817
20841,5724
20844,5817
22176,5724
221916,5817
22489,5724
22516,5724
22913,5724
23111,5724
23250,5817
23403,5817
36691,5817
43015,5724
4351,5724
44423,5724
46007,5724
50651,5817
61335,5724
61423,5724
62680,5817
83882,5817
13121,964
15117,964
15368,964
15373,964
15381,964
15647,964
15650,964
15872,2698
19712,964
2050,2698
20587,964
25035,2698
25856,2698
29056,2698
38799,2698
40254,964
42678,2698
44136,964
44367,2698
45491,964
48550,964
55854,2698
